name,default,ger
DB_SyncAssets,0x41D3A0,0x41D3A0
Com_InitSessionFinalize,0x46FA40,0x46F9B0
ConDrawInput_Text,0x471BC0,0x471B30
ConDrawInput_TextLimitChars,0x471CB0,0x471C20
FS_Startup,0x475260,0x4751B0
FS_InitFilesystem2,0x4753A0,0x4752F0
FS_InitFilesystem,0x477EC0,0x477E10
Snd_Init,0x479DB0,0x479D00
UI_Register,0x47A1C0,0x47A110
DB_InUseHandlerDispatch,0x48CC10,0x48CB60
DB_AllocAssetHeader,0x48D2A0,0x48D1F0
DB_InitAssetEntryPool,0x48D340,0x48D290
DB_AllocXAssetEntry,0x48D3B0,0x48D300
DB_HashAssetName,0x48D410,0x48D360
DB_PromoteHelper,0x48D6D0,0x48D620
DB_FindXAssetByName_ENGINE,0x48D760,0x48D6B0
DB_FindDefaultAsset,0x48D7D0,0x48D720
DB_LinkXAssetEntry,0x48D860,0x48D7B0
DB_FindXAssetHeader4,0x48DA30,0x48D980
DB_FindXAssetHeader,0x48DA30,0x48D980
DB_EnumXAssets_FastFile,0x48DEA0,0x48DDF0
DB_LinkXAssetEntryOverrideAware,0x48DFF0,0x48DF40
DB_AddZonesToQueue,0x48E4C0,0x48E410
DB_CheckPendingComplete,0x48E560,0x48E4B0
DB_LoadXAssets,0x48E7B0,0x48E700
DB_OpenZoneFile,0x48EE10,0x48ED60
DB_UnloadZoneAssets,0x48F340,0x48F290
DB_ZoneEntryCleanup,0x48F600,0x48F550
DB_CleanupAssetRefs,0x48F670,0x48F5C0
DB_UnloadAllZones,0x48F720,0x48F670
DB_RemoveZoneEntry,0x48F7D0,0x48F720
DB_PreUnloadResources,0x48F8D0,0x48F820
DB_PreFlushClearScene,0x48F980,0x48F8D0
DB_PostUnloadCleanup,0x48F9B0,0x48F900
DB_PostFlushBeginRegistration,0x48FB00,0x48FA50
Hunk_ClearTempMemory,0x4B2F80,0x4B2DE0
Hunk_BeginRegistration,0x4B3090,0x4B2EF0
Player_GetMethod,0x4DEEA0,0x4DEE10
ScriptVehicle_GetMethod,0x4F3920,0x4F39A0
Actor_GetMethod,0x4FC320,0x4FC3C0
Scr_GetFunction,0x52F0B0,0x52F190
BuiltIn_GetMethod,0x5305B0,0x530690
Scr_GetMethod,0x530630,0x530710
HudElem_GetMethod,0x532BA0,0x532C80
Helicopter_GetMethod,0x541F80,0x542040
ScriptEnt_GetMethod,0x567680,0x5676F0
Com_EventLoopInit,0x580B80,0x580BF0
Com_Init_Pre,0x5941B0,0x594220
Cbuf_Add,0x594200,0x594270
Cbuf_Init,0x594440,0x5944B0
Cbuf_Execute,0x594660,0x5946D0
Cmd_Exists,0x594DB0,0x594E20
Com_StartupVariables,0x595200,0x595270
Com_SetQueueIndex,0x596D10,0x596D80
Com_PrintMessage,0x59A170,0x59A1E0
Com_Printf,0x59A2C0,0x59A330
Com_PrintfChannel,0x59A2C0,0x59A330
DB_PrintError,0x59A380,0x59A3F0
Com_PrintError,0x59A440,0x59A4B0
Sys_Milliseconds,0x59A6F0,0x59A760
DB_FatalError,0x59AC50,0x59ACC0
SetBranding,0x59AFA0,0x59B010
Com_EnqueueEvent,0x59B0D0,0x59B140
Com_ParseCmdline,0x59B1E0,0x59B250
Dvar_Modified,0x59C7C0,0x59C860
Dvar_ForEach,0x59C840,0x59C8E0
Dvar_Init,0x59C8B0,0x59C950
CL_ClearState,0x59EA90,0x59EB30
CL_BeginRegistration,0x59EB00,0x59EBA0
Com_StartTrace,0x59FE70,0x59FF10
Com_FS,0x59FE70,0x59FF10
Sys_SpawnRenderThread,0x5A3110,0x5A31B0
Sys_SpawnDBThread,0x5A31F0,0x5A3290
DB_WaitForWorkerEvent,0x5A32B0,0x5A3350
DB_PostLoadXZone,0x5A3320,0x5A33C0
Session_Init,0x5ACB10,0x5ACCD0
LocalizeInit,0x5DE600,0x5DE600
Net_Init,0x5E3CA0,0x5E3E40
NetChan_Init,0x5E4650,0x5E47F0
Dvar_FindVar,0x5EA880,0x5EAA20
Dvar_FindMalleableVar,0x5EDE30,0x5EDFA0
Dvar_RegisterString,0x5EED90,0x5EEF00
Dvar_RegisterBool2,0x5EEE20,0x5EEF90
Dvar_RegisterFloat,0x5EEF10,0x5EF080
Dvar_PushToConfig,0x5EF550,0x5EF6C0
Hunk_InitMemory,0x5F5480,0x5F5300
DB_FreeXZoneMemory,0x5F5540,0x5F53C0
Sys_InitModeList_fs,0x5F6910,0x5F6790
Sys_InitModeList_wd,0x5F6960,0x5F6790
fn,0x5F6D00,0x5F6B80
Com_FormatMsg,0x5F6D80,0x5F6C00
Sys_BinaryPath,0x5F7F20,0x5F7DA0
HandleCfg,0x5FB560,0x5FB3E0
DB_ReloadAssets,0x5FC640,0x5FC4C0
DB_WaitForPendingLoads,0x5FDBF0,0x5FDA70
Com_Fatal,0x5FE8C0,0x5FE750
Sys_DequeueLoadEvent,0x5FEC60,0x5FEAF0
DB_RegisterDvars,0x5FEDE0,0x5FEC70
Cinema_Init,0x600CC0,0x600B50
Cinema_SetInitialized,0x600ED0,0x600D60
Sys_GetTimeDelta,0x603D40,0x603BD0
Con_Init,0x604F70,0x604E00
Scr_InitSystem,0x60C5C0,0x60C450
Anim_RegisterByName,0x60C7F0,0x60C680
Anim_AddTreeSlot,0x60C8E0,0x60C770
AnimAllocCb,0x610D20,0x610BB0
UI_Init,0x632B10,0x632840
Com_PostInit2,0x644E60,0x644B90
DedicatedInit,0x644F40,0x644C70
Com_InitSessionWork,0x645860,0x645590
Com_InitSessionClient,0x647710,0x647440
CScr_GetFunction,0x66EA30,0x66E730
CScr_GetMethod,0x671110,0x670E10
Com_AllocEventsBuf,0x677E90,0x677B90
Seed,0x677E90,0x677B90
AnimTreeCompileError,0x67D4B0,0x67D1B0
GetAnimTreeParseProperties,0x67D510,0x67D210
AnimTreeParseInternal,0x67D770,0x67D470
Scr_GetAnimTreeSize,0x67DE20,0x67DB20
Scr_CreateAnimationTree,0x67DFB0,0x67DCB0
Scr_PrecacheAnimationTree,0x67E360,0x67E060
Scr_SetAnimTreeConfigstring,0x67E670,0x67E370
EmitOpcode,0x67ECA0,0x67E9A0
Scr_FindLocalVarIndex,0x67F500,0x67F200
EmitCreateLocalVars,0x67F730,0x67F430
Scr_InitFromChildBlocks,0x67FA00,0x67F700
Scr_MergeChildBlocks,0x67FB80,0x67F880
EmitValue,0x680050,0x67FD50
Scr_RegisterLocalVar,0x680D10,0x680A10
EmitCastFieldObject,0x681720,0x681420
EmitVariableExpression,0x681990,0x681690
EmitExpressionList,0x681AD0,0x6817D0
