name,default,defaultMP,ger,gerMP
_setjmp3,0x007E1894,,0x007E1884,
aaGlobArray,0x008E8690,,0x008E8690,
Actor_GetMethod,0x004FC320,,0x004FC3C0,
AddExpressionListOpcodePos,0x00681B30,,0x00681830,
AddFilePrecache,0x00681B70,,0x00681870,
AddFunction,0x00682040,,0x00681D40,
AddOpcodePos,0x0068A9A0,,0x0068A6A0,
AddRefToObject,-1,,,
AddRefToValue,0x00690160,,0x0068FE60,
AddRefToVector,-1,,,
AddThreadStartOpcodePos,0x0068ABF0,,0x0068A8F0,
AimAssist_ApplyAutoMelee,0x004032C0,,0x004032C0,
AllocChildThread,0x0068FF90,,0x0068FC90,
AllocEntity,0x0068FF10,,0x0068FC10,
AllocObject,-1,,,
AllocThread,-1,,,
AllocValue,0x0068FE20,,0x0068FB20,
AllocVariable,0x0068FCE0,,0x0068F9E0,
AmmoRocketsPos,0x008E4570,,0x008E4570,
Anim_AddTreeSlot,0x0060C8E0,,0x0060C770,
Anim_RegisterByName,0x0060C7F0,,0x0060C680,
Anim_TriggerEvent,0x00412BF0,,0x00412BF0,
AnimAllocCb,0x00610D20,,0x00610BB0,
AnimTreeCompileError,0x0067D4B0,,0x0067D1B0,
AnimTreeParseInternal,0x0067D770,,0x0067D470,
append_node,0x0068BBE0,,0x0068B8E0,
applyAutoMelee_call_nop,0x0040372E,,0x0040372E,
applyAutoMelee_inject,0x00403735,,0x00403735,
aspectRatio_8AFAC0,0x008AFAC0,,0x008AFA80,
AspectRatioFix_hook,0x006D4FA0,,0x006D4C80,
assetPool_limit_48D390,0x0048D390,,0x0048D2E0,
assetPool_patch_rangeEnd,0x0048FA30,,0x0048F980,
assetPool_reloc_48D371,0x0048D371,,0x0048D2C1,
assetPool_reloc_48D382,0x0048D382,,0x0048D2D2,
assetPool_reloc_48D388,0x0048D388,,0x0048D2D8,
assetPool_reloc_48D5B8,0x0048D5B8,,0x0048D508,
assetPool_reloc_48D5E5,0x0048D5E5,,0x0048D535,
assetPool_reloc_48D784,0x0048D784,,0x0048D6D4,
assetPool_reloc_48D7F5,0x0048D7F5,,0x0048D745,
assetPool_reloc_48D848,0x0048D848,,0x0048D798,
assetPool_reloc_48D90F,0x0048D90F,,0x0048D85F,
assetPool_reloc_48DEF4,0x0048DEF4,,0x0048DE44,
assetPool_reloc_48DFB4,0x0048DFB4,,0x0048DF04,
assetPool_reloc_48E059,0x0048E059,,0x0048DFA9,
assetPool_reloc_48E115,0x0048E115,,0x0048E065,
assetPool_reloc_48E1C2,0x0048E1C2,,0x0048E112,
assetPool_reloc_48E1E8,0x0048E1E8,,0x0048E138,
assetPool_reloc_48E292,0x0048E292,,0x0048E1E2,
assetPool_reloc_48E3A6,0x0048E3A6,,0x0048E2F6,
assetPool_reloc_48F378,0x0048F378,,0x0048F2C8,
assetPool_reloc_48F4D4,0x0048F4D4,,0x0048F424,
assetPool_reloc_48F558,0x0048F558,,0x0048F4A8,
assetPool_reloc_48F68C,0x0048F68C,,0x0048F5DC,
assetPool_reloc_48F704,0x0048F704,,0x0048F654,
assetPool_reloc_48F9D4,0x0048F9D4,,0x0048F924,
assetPool_reloc_48FA28,0x0048FA28,,0x0048F978,
BG_FindWeaponIndex,0x0041D470,,0x0041D470,
BG_FindWeaponIndex_Internal,0x0041D4C0,,0x0041D4C0,
BG_GetWeaponIndexForName,0x0040FAA0,,0x0040FAA0,
BG_LoadWeaponByIndex,0x004FE980,,0x004FEA20,
BG_LoadWeaponDef_fieldCount_site,0x00424328,,0x00424328,
BG_LoadWeaponDef_fieldTable_site,0x0042432D,,0x0042432D,
BG_LoadWeaponDef_stride_site,0x00424154,,0x00424154,
BG_RegisterWeapon,0x0041D360,,0x0041D360,
bg_weaponDefs,0x008F6770,,0x008F6770,
BuiltIn_GetMethod,0x005305B0,,0x00530690,
CalcGammaRamp_ignore_hook,0x006D550B,,0x006D51EB,
Cbuf_Add,0x00594200,,0x00594270,
Cbuf_Execute,0x00594660,,0x005946D0,
Cbuf_Init,0x00594440,,0x005944B0,
CG_ApplyViewmodelMoveOfs,0x00465FF0,,0x00466190,
CG_ApplyViewmodelRotOfs,0x004664E0,,0x00466680,
CG_CheckHudObjectiveDisplay,0x00437ACC,,0x00437ACC,
CG_CheckHudObjectiveDisplay_ZombieCheck,0x004379D0,,0x004379D0,
CG_CornerDebugPrint,0x00439160,,0x00439160,
cg_debugInfoCornerOffset,0x03688B44,,0x03688B44,
CG_DrawAmmoClipLowclip_site,0x0044F33E,,0x0044F4DE,
CG_DrawAmmoClipNormal_site,0x0044F2FA,,0x0044F49A,
cg_drawAmmoDivider_ptr1_site,0x0044F3CC,,0x0044F56C,
cg_drawAmmoDivider_ptr2_site,0x0044F418,,0x0044F5B8,
CG_DrawAmmoReserve_site,0x0044F3AA,,0x0044F54A,
cg_drawfps_array_verbose,0x008CFCE8,,0x008CFCE8,
CG_DrawOverheadNames_scale_site,0x0043C0C9,,0x0043C0C9,
cg_fov,0x0368EB70,,0x0368EB70,
cg_fov_flags_site,0x0065EE46,,0x0065EB76,
cg_fov_hook1,0x00402345,,0x00402345,
cg_fov_hook2,0x0042DD6E,,0x0042DD6E,
cg_fov_hook3,0x0042E013,,0x0042E013,
cg_fov_min,0x0339CBE0,,0x0339CBE0,
cg_fov_valuePtr_site,0x0065EE31,,0x0065EB61,
cg_fovMin_flags_site,0x0065EEB6,,0x0065EBE6,
cg_fovscale,0x03688A04,,0x03688A04,
cg_fovScale_flags_site,0x0065EE7C,,0x0065EBAC,
cg_fovscale_hook,0x0042DF29,,0x0042DF29,
cg_gun_minspeed,0x034660B0,,0x034660B0,
cg_gun_move_f,0x03688A88,,0x03688A88,
cg_gun_move_r,0x03688A70,,0x03688A70,
cg_gun_move_rate,0x03466564,,0x03466564,
cg_gun_move_u,0x0368EB98,,0x0368EB98,
cg_gun_ofs_f,0x0368EBB4,,0x0368EBB4,
cg_gun_ofs_r,0x03688A38,,0x03688A38,
cg_gun_ofs_u,0x034660B4,,0x034660B4,
cg_gun_rot_minspeed,0x03688B48,,0x03688B48,
cg_gun_rot_p,0x03688AC4,,0x03688AC4,
cg_gun_rot_r,0x03466118,,0x03466118,
cg_gun_rot_rate,0x03466060,,0x03466060,
cg_gun_rot_y,0x03688A20,,0x03688A20,
cg_gun_x,0x034660EC,,0x034660EC,
cg_gun_y,0x0339B758,,0x0339B758,
cg_gun_z,0x03466074,,0x03466074,
CG_HideSpectateText_site,0x00438706,,0x00438706,
CG_HideSpectateText_skipTarget,0x0043873C,,0x0043873C,
CG_ReloadStartCheck,0x0041EA30,,0x0041EA30,
CG_ReloadStartCheck_ret,0x0041EB9C,,0x0041EB9C,
CG_ScoreboardClientNumber_site,0x00668CC0,,0x006689C0,
CG_ScoreboardSize_site,0x00668A87,,0x00668787,
CG_ScoreboardTextOffset_site,0x006689F8,,0x006686F8,
CG_ScoreboardTextScale_site,0x00668800,,0x00668500,
CG_ViewmodelAnim_Chooser,0x004643A0,,0x00464540,
